Unnamed: 0,ul_total_num_pkts,ul_total_num_bytes,ul_min_pkt_size,ul_max_pkt_size,ul_mean_pkt_size,ul_std_pkt_size,ul_min_iat,ul_max_iat,ul_mean_iat,ul_std_iat,ul_dur,dl_total_num_pkts,dl_total_num_bytes,dl_min_pkt_size,dl_max_pkt_size,dl_mean_pkt_size,dl_std_pkt_size,dl_min_iat,dl_max_iat,dl_mean_iat,dl_std_iat,dl_dur,ip_A,port_A,ip_B,port_B,protocal,action,app
0,1,76.0,76.0,76.0,76.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,149.0,149.0,149.0,149.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,35475.0,2152970537,53.0,0,0,0
1,1,62.0,62.0,62.0,62.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,99.0,99.0,99.0,99.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,38115.0,2152970537,53.0,0,0,0
2,2,127.0,52.0,75.0,63.5,16.263455967290593,0.007902,0.007902,0.007902,2.193063539446056,0.007902,2,80.0,40.0,40.0,40.0,0.0,0.00214,0.00214,0.00214,2.280075026944702,0.00214,177357320,38404.0,2899904170,443.0,1,0,0
3,2,135.0,52.0,83.0,67.5,21.920310216782973,0.059009,0.059009,0.059009,2.193063539446056,0.059009,1,93.0,93.0,93.0,93.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,41277.0,520969491,443.0,1,0,0
4,15,2293.0,52.0,1290.0,152.86666666666667,319.97608541591853,0.000153,0.325016,0.0270956428571428,0.0859729712092989,0.379339,14,13113.0,52.0,1290.0,936.6428571428572,523.9165534176744,5.8e-05,0.32466,0.031919,0.0898490883713723,0.414947,177357320,41292.0,520969491,443.0,1,0,0
5,11,1801.0,52.0,931.0,163.72727272727272,259.96349394062656,6.1e-05,4.866796,0.5065552,1.5321519654536593,5.065552,10,4305.0,52.0,1290.0,430.5,533.1858650289472,7.3e-05,4.830727,0.5632582222222223,1.6006016522964717,5.069324000000001,177357320,46307.0,2726105733,443.0,1,0,0
6,5139,268613.0,52.0,610.0,52.269507686320296,8.285435967629907,4.3e-05,0.620523,0.002071093616193,0.0096562701082225,10.641279,53749,68561744.0,52.0,1290.0,1275.591062159296,106.66550704276074,1.7e-05,0.565472,0.0001968887958621,0.0028576043165857,10.582379,177357320,48774.0,2726103048,443.0,1,0,0
7,27,2278.0,52.0,656.0,84.37037037037037,119.90353435098382,5e-05,0.375557,0.0172393461538461,0.0732723704505005,0.4482229999999999,44,48546.0,52.0,1290.0,1103.3181818181818,436.25887198160655,2.2e-05,0.322786,0.0102101162790697,0.0496754667671455,0.439035,177357320,55382.0,2726103045,443.0,1,0,0
8,1,61.0,61.0,61.0,61.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,107.0,107.0,107.0,107.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,55487.0,2152970537,53.0,0,0,0
9,18,2805.0,52.0,583.0,155.83333333333334,197.09067784681665,5.2e-05,20.000927,1.2744953529411764,4.830577383104153,21.666421,20,7668.0,52.0,1290.0,383.4,475.1822254340129,3.6e-05,20.02125,1.1398651578947367,4.576936853117514,21.657438,177357320,55562.0,2726103047,443.0,1,0,0
10,18,2019.0,52.0,660.0,112.16666666666669,147.06111174690366,4.8e-05,0.13186,0.0285037058823529,0.0406752988092354,0.4845629999999999,16,6634.0,52.0,1290.0,414.625,481.3973930132983,4.7e-05,0.183837,0.0316971333333333,0.0520843828511095,0.4754569999999999,177357320,55563.0,2726103047,443.0,1,0,0
11,26,6297.0,52.0,607.0,242.19230769230768,246.9620244864816,4.7e-05,14.784985,0.9454642,3.0066719095191585,23.636605000000003,35,12261.0,52.0,1290.0,350.3142857142857,414.8379394009022,3.5e-05,14.810128,0.6949252647058826,2.6044990708373628,23.627459000000005,177357320,55564.0,2726103047,443.0,1,0,0
12,33,7585.0,52.0,850.0,229.84848484848484,282.1881155820662,5.3e-05,12.797863,1.14455896875,2.9443163286999785,36.625887,36,13792.0,52.0,1290.0,383.1111111111111,455.652109009104,5.2e-05,12.817773,1.046185685714286,2.8372386602606063,36.616499000000005,177357320,55565.0,2726103047,443.0,1,0,0
13,16,4108.0,52.0,912.0,256.75,334.1844799907181,6.9e-05,16.691713,1.5761467333333334,4.470109118599543,23.642201,19,8487.0,52.0,1290.0,446.6842105263158,487.3189752366831,7.2e-05,16.705002,1.3128939444444443,4.105498225357157,23.632091,177357320,55566.0,2726103047,443.0,1,0,0
14,15,2216.0,52.0,666.0,147.73333333333332,195.99725459690453,0.000371,20.000624,1.9103565,5.462522083645158,26.744991,16,7288.0,52.0,1290.0,455.5,539.0616538640702,5.8e-05,20.011576,1.7823789333333333,5.290867782005822,26.735684,177357320,55567.0,2726103047,443.0,1,0,0
15,13,1778.0,52.0,833.0,136.76923076923077,216.398611304137,3.7e-05,20.00118,1.7000611666666667,5.764029772688609,20.400734,13,5661.0,52.0,1290.0,435.46153846153845,531.6426768962739,2.5e-05,20.035603,1.6993076666666669,5.774865691894886,20.391692,177357320,55569.0,2726103047,443.0,1,0,0
16,13,1609.0,52.0,667.0,123.76923076923076,172.12744979915024,5.3e-05,20.000355,1.6902089166666665,5.766509743783518,20.282507,13,6051.0,52.0,1290.0,465.46153846153845,551.066181050367,5e-05,20.012439,1.6894747500000002,5.770423461260914,20.273697,177357320,55570.0,2726103047,443.0,1,0,0
17,13,1610.0,52.0,668.0,123.84615384615384,172.39047061532827,7.2e-05,20.005284,1.6933955833333334,5.767174322973764,20.320747,13,6051.0,52.0,1290.0,465.46153846153845,551.066181050367,7.6e-05,20.016974,1.6926494166666668,5.770941121884548,20.311793,177357320,55571.0,2726103047,443.0,1,0,0
18,1,69.0,69.0,69.0,69.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,126.0,126.0,126.0,126.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,57395.0,2152970537,53.0,0,0,0
19,1,64.0,64.0,64.0,64.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,110.0,110.0,110.0,110.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,57577.0,2152970537,53.0,0,0,0
20,7,438.0,52.0,89.0,62.57142857142857,18.054151349547865,0.020954,20.154294,7.073322,8.615623944512851,42.439932,7,2570.0,52.0,494.0,367.1428571428572,215.28541409907345,0.036119,20.100472,7.066953166666667,8.582677903090326,42.401719,177357320,58762.0,2915223740,5228.0,1,0,0
21,2,895.0,52.0,843.0,447.5,559.3214639185591,0.047721,0.047721,0.047721,2.193063539446056,0.047721,1,85.0,85.0,85.0,85.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,59470.0,520969484,443.0,1,0,0
22,1,64.0,64.0,64.0,64.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,110.0,110.0,110.0,110.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,1097.0,2152970537,53.0,0,0,0
23,1,61.0,61.0,61.0,61.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,107.0,107.0,107.0,107.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,34723.0,2152970537,53.0,0,0,0
24,11,1801.0,52.0,931.0,163.72727272727272,259.96349394062656,7e-05,4.412468,0.4608155999999999,1.3886012607145524,4.608155999999999,10,4305.0,52.0,1290.0,430.5,533.1858650289472,8.7e-05,4.371712,0.5120185555555555,1.4477184334471005,4.608167,177357320,36985.0,2726105733,443.0,1,0,0
25,119,132098.0,52.0,1290.0,1110.0672268907565,416.51477136384807,2.1e-05,0.518191,0.0159992881355932,0.0687428721810053,1.887916,53,8343.0,52.0,1290.0,157.41509433962264,307.23646831079003,2.1e-05,0.508476,0.0361356346153846,0.1015381482349443,1.879053,177357320,37491.0,2899904938,443.0,1,0,0
26,9,3400.0,52.0,1290.0,377.77777777777777,523.6976173751838,0.000151,0.03171,0.008867875,0.0101052777078896,0.070943,7,1072.0,52.0,587.0,153.14285714285714,197.76958695363027,8.3e-05,0.022706,0.0103279999999999,0.0084713989871803,0.0619679999999999,177357320,37495.0,2899904938,443.0,1,0,0
27,1,69.0,69.0,69.0,69.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,126.0,126.0,126.0,126.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,40180.0,2152970537,53.0,0,0,0
28,1,65.0,65.0,65.0,65.0,205.2869977183783,0.8072871851978172,9.686940368178718,1.4885777450520825,2.193063539446056,0.0,1,339.0,339.0,339.0,339.0,361.3110066429696,0.8260948399171986,9.709714055028462,1.5772967960206263,2.280075026944702,0.0,177357320,42357.0,2152970537,53.0,0,0,0
29,144,8306.0,52.0,607.0,57.68055555555556,48.64135234274597,4.6e-05,0.416618,0.0049986783216783,0.0351983585457948,0.7148110000000001,853,1093405.0,52.0,1290.0,1281.8347010550997,97.82210363073716,3.6e-05,0.36266,0.0007410821596244,0.0126033409673648,0.6314019999999999,177357320,46405.0,2726103048,443.0,1,0,0
