Unnamed: 0,ul_total_num_pkts,ul_total_num_bytes,ul_min_pkt_size,ul_max_pkt_size,ul_mean_pkt_size,ul_std_pkt_size,ul_min_iat,ul_max_iat,ul_mean_iat,ul_std_iat,ul_dur,dl_total_num_pkts,dl_total_num_bytes,dl_min_pkt_size,dl_max_pkt_size,dl_mean_pkt_size,dl_std_pkt_size,dl_min_iat,dl_max_iat,dl_mean_iat,dl_std_iat,dl_dur,ip_A,port_A,ip_B,port_B,protocal,action,app
1,1,64.0,64.0,64.0,64.0,202.07052538217013,0.861388301369863,37.224390762141965,3.772519996067173,8.761604003150689,0.0,1,109.0,109.0,109.0,109.0,313.8942131647105,1.365675120150188,35.06090192115144,4.23459793684636,8.308501932929873,0.0,177301229,3544.0,2152970536,53.0,0,20,1
3,1,64.0,64.0,64.0,64.0,202.07052538217013,0.861388301369863,37.224390762141965,3.772519996067173,8.761604003150689,0.0,1,109.0,109.0,109.0,109.0,313.8942131647105,1.365675120150188,35.06090192115144,4.23459793684636,8.308501932929873,0.0,177301229,4143.0,2152970536,53.0,0,20,1
4,1,66.0,66.0,66.0,66.0,202.07052538217013,0.861388301369863,37.224390762141965,3.772519996067173,8.761604003150689,0.0,1,111.0,111.0,111.0,111.0,313.8942131647105,1.365675120150188,35.06090192115144,4.23459793684636,8.308501932929873,0.0,177301229,5151.0,2152970536,53.0,0,20,1
9,1,65.0,65.0,65.0,65.0,202.07052538217013,0.861388301369863,37.224390762141965,3.772519996067173,8.761604003150689,0.0,1,104.0,104.0,104.0,104.0,313.8942131647105,1.365675120150188,35.06090192115144,4.23459793684636,8.308501932929873,0.0,177301229,18653.0,2152970536,53.0,0,20,1
10,1,72.0,72.0,72.0,72.0,202.07052538217013,0.861388301369863,37.224390762141965,3.772519996067173,8.761604003150689,0.0,1,272.0,272.0,272.0,272.0,313.8942131647105,1.365675120150188,35.06090192115144,4.23459793684636,8.308501932929873,0.0,177301229,18870.0,2152970536,53.0,0,20,1
17,76,22015.0,52.0,1290.0,289.67105263157896,418.9455139802916,2.3e-05,65.012894,1.040028746666667,7.5268772255532355,78.00215600000001,54,23544.0,40.0,1290.0,436.0,486.82134183694586,4.5e-05,65.012527,1.4715549622641513,8.943585492523118,77.99241300000001,177301229,41943.0,2649756435,443.0,1,20,1
24,57,18036.0,52.0,1290.0,316.42105263157896,439.606721455521,2.9e-05,8.780441,0.37645575,1.4104206547287454,21.081522,42,21988.0,52.0,1290.0,523.5238095238095,508.0817697823192,4.9e-05,8.805057,0.5139560243902439,1.6414604483970132,21.072197,177301229,41964.0,2649756435,443.0,1,20,1
27,1,62.0,62.0,62.0,62.0,202.07052538217013,0.861388301369863,37.224390762141965,3.772519996067173,8.761604003150689,0.0,1,102.0,102.0,102.0,102.0,313.8942131647105,1.365675120150188,35.06090192115144,4.23459793684636,8.308501932929873,0.0,177301229,48537.0,2152970536,53.0,0,20,1
32,16,2091.0,52.0,940.0,130.6875,223.39194815391176,5.8e-05,119.420215,8.004605,30.822401163492387,120.069075,17,5740.0,40.0,1290.0,337.6470588235294,430.2714174181906,8.3e-05,119.459801,7.50449375,29.85489205965605,120.0719,177301229,51122.0,3229408465,443.0,1,20,1
33,10,833.0,52.0,281.0,83.3,72.2250341332945,5.7e-05,120.023034,13.34100611111111,40.00576066630056,120.069055,11,4011.0,52.0,1290.0,364.6363636363636,496.7732425820201,8.9e-05,120.022795,12.0063972,37.95309398538232,120.063972,177301229,51123.0,3229408465,443.0,1,20,1
